name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
alandur,2023-08-08,96.8,83.9,88.5,112.4,94.3,102.8,78.5,73.2,0,0,0,rain,0,0,22.8,11.4,192.7,1006.7,59.3,3.3,249.3,21.7,8,60,2023-08-08T05:55:57,2023-08-08T18:33:50,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-09,96.7,82.3,88,114.2,89.2,101,77.9,72.8,0.004,100,4.17,rain,0,0,17,13.8,188.5,1008.2,53.2,3.5,243.1,21.1,9,30,2023-08-09T05:56:06,2023-08-09T18:33:25,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-10,95,77.6,83.7,116.1,77.6,92,76.5,79.6,1.344,100,8.33,rain,0,0,24.2,17.2,244.1,1008.7,70.3,3.1,170.6,14.7,9,30,2023-08-10T05:56:15,2023-08-10T18:32:58,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-11,91.7,78,84.8,107.8,78,94.6,77.1,78.3,0,0,0,,0,0,17.7,11.4,212.3,1008.1,67.9,3.5,257,22.1,9,30,2023-08-11T05:56:24,2023-08-11T18:32:31,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-12,96.8,80,84.3,115.3,80,94.2,77.7,81.7,0.073,100,8.33,rain,0,0,21.9,11.4,248.4,1007.5,86.1,3.3,240,20.7,10,60,2023-08-12T05:56:32,2023-08-12T18:32:03,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-13,96.8,79.7,86.1,115.3,79.7,97.6,78.2,78.6,0.007,100,8.33,rain,0,0,20.8,11.4,267.4,1006.8,49.1,3.2,180.5,15.6,9,60,2023-08-13T05:56:40,2023-08-13T18:31:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-14,94.5,73.4,81.3,113.5,73.4,87.4,76.8,87,4.664,100,20.83,rain,0,0,18.1,16.1,167.8,1007.8,85.9,2.5,201.1,17.2,8,60,2023-08-14T05:56:48,2023-08-14T18:31:05,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-15,96.8,78.8,85.8,118.6,78.8,98.7,79.5,82.6,0.017,100,4.17,rain,0,0,21.9,11.4,208.5,1007.6,62.4,3.3,230.6,19.9,8,60,2023-08-15T05:56:55,2023-08-15T18:30:35,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-16,96.6,80.6,87.1,116.1,86.2,100.5,78.4,76.2,0.277,100,8.33,rain,0,0,25.1,12.7,209.3,1007.7,59.2,3.1,266.4,23,10,60,2023-08-16T05:57:01,2023-08-16T18:30:05,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-17,97.1,77.6,85.8,112.8,77.6,95.7,77.6,78.5,1.506,100,8.33,rain,0,0,24.8,15,258.2,1006.9,70.9,2.7,164.2,14.2,7,60,2023-08-17T05:57:08,2023-08-17T18:29:33,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-18,96.8,78.8,86.3,112.4,78.8,96.6,77.3,76.1,0.09,100,4.17,rain,0,0,23,14.9,227.8,1005.4,75.9,3.2,220.5,19,8,30,2023-08-18T05:57:14,2023-08-18T18:29:01,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-19,95.7,79.6,87.4,112.8,79.6,98.2,76.7,72.1,0.028,100,4.17,rain,0,0,21.9,17.2,252.2,1005,60.2,3.5,212.6,18.3,10,60,2023-08-19T05:57:20,2023-08-19T18:28:29,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
alandur,2023-08-20,95,81.3,87.2,110,88.2,99.3,77.5,73.8,0.017,100,4.17,rain,0,0,21.3,11.4,217.7,1005.7,61.5,3.8,230.3,19.7,10,60,2023-08-20T05:57:25,2023-08-20T18:27:55,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
