name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ambattur,2023-08-08,96.8,84.2,88.5,112.4,94.1,102.6,78.4,72.8,0,0,0,rain,0,0,22.8,10.6,191.1,1007,57.2,3.4,249.3,21.7,8,60,2023-08-08T05:55:59,2023-08-08T18:34:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-09,96.7,82.4,88.1,112.3,89.2,100.9,77.8,72.5,0.004,100,4.17,rain,0,0,17,12.8,191.8,1008.5,52,3.6,243.1,21.1,9,30,2023-08-09T05:56:08,2023-08-09T18:33:44,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-10,95.4,77.7,83.8,116.1,77.7,92.1,76.4,79.3,0.746,100,8.33,rain,0,0,24.2,16.2,241.5,1008.9,69.9,3.2,170.6,14.7,9,30,2023-08-10T05:56:18,2023-08-10T18:33:18,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-11,91.6,78.6,84.9,107.8,78.6,94.5,77,77.8,0,0,0,,0,0,17.7,10.3,212.5,1008.4,64.9,3.6,257,22.1,9,30,2023-08-11T05:56:26,2023-08-11T18:32:51,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-12,96.8,80,84.4,115.3,80,94.3,77.7,81.3,0.027,100,8.33,rain,0,0,21.9,11.4,243.2,1007.7,83.4,3.4,240,20.7,10,60,2023-08-12T05:56:35,2023-08-12T18:32:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.8,78.2,78.5,0.035,100,8.33,rain,0,0,20.8,10.3,257.1,1007,53.6,3.3,180.5,15.6,9,60,2023-08-13T05:56:43,2023-08-13T18:31:54,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-14,93.2,73.4,81.6,113.5,73.4,88.1,77,86.8,3.876,100,20.83,rain,0,0,18.1,15,183.9,1008.2,84.7,2.7,201.1,17.2,8,60,2023-08-14T05:56:51,2023-08-14T18:31:24,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.7,0.153,100,4.17,rain,0,0,21.9,10.6,205.4,1008,60.7,3.4,230.6,19.9,8,60,2023-08-15T05:56:58,2023-08-15T18:30:54,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-16,95,77.5,86.8,116.1,77.5,99.4,78.1,76.3,2.205,100,8.33,rain,0,0,25.1,11.8,204.3,1008.1,60.3,3.2,266.4,23,10,60,2023-08-16T05:57:05,2023-08-16T18:30:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
ambattur,2023-08-17,97,77.6,85.8,112.8,77.6,95.9,77.7,78.5,1.588,100,8.33,rain,0,0,24.8,15,260.1,1007.1,71.9,2.9,164.2,14.2,7,60,2023-08-17T05:57:12,2023-08-17T18:29:52,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
