name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Anna Nagar,2023-08-08,96.8,84.2,88.5,112.4,94,102.5,78.3,72.6,0,0,0,rain,0,0,22.8,10.7,192.3,1006.9,56.2,3.5,249.3,21.7,8,60,2023-08-08T05:55:48,2023-08-08T18:33:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-09,96.7,82.4,88.1,112.5,89.2,100.9,77.7,72.3,0.004,100,4.17,rain,0,0,17,12.9,195.6,1008.5,51.3,3.6,243.1,21.1,9,30,2023-08-09T05:55:58,2023-08-09T18:33:28,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-10,96,77.6,83.8,116.1,77.6,92.1,76.4,79.2,0.587,100,8.33,rain,0,0,24.2,16.3,242.8,1008.8,69.7,3.3,170.6,14.7,9,30,2023-08-10T05:56:07,2023-08-10T18:33:02,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-11,91.5,78.8,84.9,107.8,78.8,94.4,76.9,77.6,0,0,0,,0,0,17.7,10.4,216.9,1008.4,63.4,3.6,257,22.1,9,30,2023-08-11T05:56:16,2023-08-11T18:32:35,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-12,96.8,80,84.5,115.3,86.3,94.7,77.7,81.1,0.014,100,8.33,rain,0,0,21.9,11.4,243.7,1007.7,82,3.4,240,20.7,10,60,2023-08-12T05:56:24,2023-08-12T18:32:07,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.7,78.2,78.5,0.042,100,8.33,rain,0,0,20.8,10.4,254.7,1006.9,55.9,3.4,180.5,15.6,9,60,2023-08-13T05:56:32,2023-08-13T18:31:38,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-14,93.2,73.4,81.7,113.5,73.4,88.6,77.1,86.8,3.666,100,20.83,rain,0,0,18.1,15.1,180.8,1008.1,84,2.7,201.1,17.2,8,60,2023-08-14T05:56:40,2023-08-14T18:31:09,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.8,0.189,100,4.17,rain,0,0,21.9,10.7,207.2,1008,59.8,3.5,230.6,19.9,8,60,2023-08-15T05:56:47,2023-08-15T18:30:39,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-16,95,75.8,86.6,116.1,75.8,99,77.9,76.4,2.717,100,8.33,rain,0,0,25.1,11.9,204.2,1008,60.8,3.3,266.4,23,10,60,2023-08-16T05:56:54,2023-08-16T18:30:08,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Anna Nagar,2023-08-17,96.9,77.6,85.8,112.8,77.6,96,77.7,78.5,1.609,100,8.33,rain,0,0,24.8,15,260,1007.1,72.3,3,164.2,14.2,7,60,2023-08-17T05:57:00,2023-08-17T18:29:36,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
