,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
0,0,62.1,78.1,66.8,93.3,46.5,54.5,301.9
1,1,62.4,77.9,64.3,93.3,47.6,54.9,283.8
2,2,62.5,77.4,60.7,92.6,47.7,54.9,272
3,3,60.1,88.2,75.6,86.1,48.5,56.4,250.8
4,4,60.4,87.9,73,87.5,49,56.6,189.2
5,5,62.5,83.5,79.4,89.3,49.9,57,294.9
6,6,56.9,95.3,91.4,71.7,49.9,55.5,107
7,7,59,85.6,64.1,88.4,48.3,54.2,274.8
8,8,61.9,79.4,40.8,90.2,46.8,54.9,318
9,9,60.6,75.3,41,90.8,47.2,52.3,318.6
10,10,61.8,70.6,37.7,92.4,46.7,51.4,338.4
11,11,61.7,73.4,48.1,89.9,47,52.8,280.3
12,12,63.7,74.4,46.9,91.5,49.2,55,295.6
13,13,63.6,82.2,77.4,91.5,51,57.6,253
14,14,62.6,87.8,94.5,82.1,52.6,58.7,227.8
15,15,59.5,94.2,98,75.3,50.8,57.8,173.7
16,16,61,87.5,63.2,87.9,46.8,56.9,249.4
17,17,57,78.4,32,88.4,44.1,49.9,296.6
18,18,58.1,76.1,40.8,89.7,41.3,50.1,258.5
19,19,57.4,74.7,39.7,89.7,40.7,48.7,303.9
20,20,55.8,72.2,37.4,82.5,42.9,46.6,317.6
21,21,58,67,20,89.7,40.5,46,313.9
22,22,57.8,65.9,7.1,89.9,43.2,45.8,316.3
23,23,60,69.4,22,91.7,45.6,49.4,306.9
24,24,60.6,74.2,32.3,91.1,46.5,51.9,297.5
25,25,61.6,74.3,37.5,91.5,46.3,52.9,288.6
26,26,60.5,68.8,25.1,92.9,45.9,49.7,312.1
27,27,60.2,61.7,20,93.3,42.7,46,315.2
28,28,56.6,65.6,21,91.7,42.5,44.5,303.7
29,29,56.2,64.4,13.4,93.8,41.4,43.4,298.7
30,30,55.7,60,11.3,85.7,40.7,40.8,308.7
31,31,56.8,65.4,15,91.7,43.1,44.5,303.5
32,32,59.2,69.4,31.7,90.6,44.1,48.7,298
33,33,59.2,73,38.4,91.1,43.6,49.9,278.8
34,34,60.3,76.7,50.1,91.5,45,52.2,259
35,35,61.8,77.3,47.3,93.3,46.1,53.8,275.3
36,36,62.6,77.8,50.8,92.9,47.4,55,225.4
37,37,61.2,78.3,37.6,92.6,47.7,54,267.1
38,38,60,78.3,54.1,91.7,46.7,52.6,262.5
39,39,56,82.5,47.1,84.3,45.4,50.5,237.9
40,40,57.4,81.5,62.6,84.3,45.9,51.4,230.6
41,41,55.1,85.2,76.9,81.6,45.6,50.5,123.8
42,42,56.7,78.5,52,83.9,44,49.9,250.1
43,43,55.2,78.5,24.1,91.1,43.8,48.2,268.1
44,44,57,74.2,24.8,93.3,42.7,48.1,271.6
45,45,54.9,73.8,30.9,87.9,41.3,45.8,256.9
46,46,52.1,79.8,54.1,82.1,39.5,45.8,187.6
47,47,52,71.9,20.8,82.5,39.3,42.7,275
48,48,51.4,62.2,16.3,90.2,36.6,37.8,278
49,49,52,55.2,6.8,91.1,36.8,35.1,279.4
50,50,52.5,49.2,2.9,89,36.4,32.5,280.1
51,51,50.9,43.1,2.5,91.1,36,27,280.9
52,52,52.3,53.8,13.2,91.5,36.6,34.6,272.2
53,53,53.1,63.1,24.1,91.5,37.5,40.2,263.9
54,54,53.3,63.2,17.3,91.5,36.9,39.9,264.6
55,55,51,72.4,29.1,82.5,37.8,41.9,257.8
56,56,52.3,63.2,18.2,88.4,36.6,38.8,261.8
57,57,51.2,54.9,14.6,89.7,36.4,34.3,260.6
58,58,52.6,54.8,6.1,90.2,36.9,35.5,260.1
59,59,53.1,55.3,4.1,90.6,40.2,35.8,258.4
60,60,52.1,62.4,9.7,90.2,38.4,38.4,252.9
61,61,51.4,57.8,5.6,92,36.6,35.7,253.5
62,62,49.4,53.7,3.9,89.3,34.8,31.3,256.8
63,63,43.7,62.7,24.7,73.6,31.9,30.9,237
64,64,47.4,50.3,2.9,86.1,32.8,28.3,250.8
65,65,49.1,50.9,3.6,87.9,36,29.8,248.9
66,66,48.7,58.2,6,86.1,35.3,33.4,243.1
67,67,46.7,67.2,39.8,77.1,33.5,35.8,217.3
