name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perungudi,2023-08-08,96.8,83.9,88.5,112.4,94.2,102.7,78.5,73.1,0,0,0,rain,0,0,22.8,11.1,191.5,1006.8,59.3,3.4,249.3,21.7,8,60,2023-08-08T05:55:50,2023-08-08T18:33:38,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-09,96.7,82.4,88,113.5,89.2,101,77.8,72.8,0.004,100,4.17,rain,0,0,17,13.4,188,1008.3,53,3.5,243.1,21.1,9,30,2023-08-09T05:55:59,2023-08-09T18:33:13,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-10,95,77.5,83.7,116.1,77.5,92,76.5,79.5,1.19,100,8.33,rain,0,0,24.2,16.8,242.3,1008.8,70.4,3.1,170.6,14.7,9,30,2023-08-10T05:56:08,2023-08-10T18:32:46,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-11,91.7,78.1,84.8,107.8,78.1,94.6,77.1,78.2,0,0,0,,0,0,17.7,10.9,210.7,1008.2,67.3,3.5,257,22.1,9,30,2023-08-11T05:56:17,2023-08-11T18:32:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-12,96.8,79.9,84.3,115.3,79.9,94.2,77.7,81.6,0.061,100,8.33,rain,0,0,21.9,11.4,245.8,1007.6,85.6,3.2,240,20.7,10,60,2023-08-12T05:56:25,2023-08-12T18:31:51,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.6,78.2,78.5,0.014,100,8.33,rain,0,0,20.8,10.9,265.7,1006.9,50.1,3.2,180.5,15.6,9,60,2023-08-13T05:56:33,2023-08-13T18:31:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-14,94.2,73.4,81.3,113.6,73.4,87.5,76.8,87,4.461,100,20.83,rain,0,0,18.1,15.6,174.7,1008,85.8,2.6,201.1,17.2,8,60,2023-08-14T05:56:40,2023-08-14T18:30:54,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.7,79.5,82.6,0.052,100,4.17,rain,0,0,21.9,11.1,206.3,1007.8,62.3,3.4,230.6,19.9,8,60,2023-08-15T05:56:48,2023-08-15T18:30:24,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-16,96,80.2,87,116.1,86.2,100.3,78.3,76.2,0.771,100,8.33,rain,0,0,25.1,12.3,207.3,1007.9,59.5,3.1,266.4,23,10,60,2023-08-16T05:56:54,2023-08-16T18:29:53,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-17,97.1,77.5,85.8,112.9,77.5,95.7,77.6,78.5,1.527,100,8.33,rain,0,0,24.8,15,258,1007,71.2,2.8,164.2,14.2,7,60,2023-08-17T05:57:01,2023-08-17T18:29:22,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-18,96.8,78.8,86.3,112.4,78.8,96.6,77.3,76,0.278,100,4.17,rain,0,0,23,14.5,227.1,1005.5,75.6,3.3,220.5,19,8,30,2023-08-18T05:57:07,2023-08-18T18:28:50,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-19,95.7,79.6,87.4,112.9,79.6,98.2,76.7,72,0.06,100,4.17,rain,0,0,21.9,16.6,250.5,1005.1,60.3,3.5,212.6,18.3,10,60,2023-08-19T05:57:12,2023-08-19T18:28:17,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-20,95,81.1,87.2,110,88,99.2,77.4,73.7,0.052,100,4.17,rain,0,0,21.3,11.3,218.7,1005.8,61.2,3.9,230.3,19.7,10,60,2023-08-20T05:57:18,2023-08-20T18:27:44,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-21,95,82.7,87.8,116.1,92.3,102.3,79.1,76.1,0,0,0,rain,0,0,24.2,12.2,175.6,1005.6,38.6,3.8,244.9,21,9,60,2023-08-21T05:57:23,2023-08-21T18:27:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999,AUKJ"
Perungudi,2023-08-22,92.1,80.6,86.2,114.4,88.2,101.6,80.1,82.5,0.066,100,8.33,rain,0,0,17.7,10.2,199.7,1006.1,53,3.2,224.2,19.1,9,60,2023-08-22T05:57:27,2023-08-22T18:26:35,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-23,93.2,77,85,113.6,77,96.8,78.9,82.6,2.492,100,8.33,rain,0,0,25.7,15,221.8,1006.3,61.8,3,239.5,20.7,8,60,2023-08-23T05:57:32,2023-08-23T18:26:00,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-24,93.2,75.2,83.9,113.6,75.2,94.7,78.6,84.9,2.664,100,12.5,rain,0,0,23,42.6,193.9,1005.7,68.9,3,273.1,23.5,9,60,2023-08-24T05:57:36,2023-08-24T18:25:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-25,95,81.4,87.2,116.1,89.4,101.1,78.9,77.3,0,0,0,rain,0,0,26.4,11.4,202.5,1005.9,40.7,3.7,250,21.5,9,75,2023-08-25T05:57:39,2023-08-25T18:24:49,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999,43277099999"
Perungudi,2023-08-26,95.1,81.9,87.2,117.1,90.4,102.2,79.6,78.8,0,0,0,,0,0,27.1,11.4,213.1,1007.4,52.3,3.6,209.4,18.1,8,60,2023-08-26T05:57:43,2023-08-26T18:24:12,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-27,91.4,76.7,84.8,110.9,76.7,96.3,78.5,81.8,0.333,100,4.17,rain,0,0,17,11.3,240.8,1008.1,85.4,3,134.5,11.6,4,30,2023-08-27T05:57:46,2023-08-27T18:23:35,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999,AUKJ"
Perungudi,2023-08-28,96.8,80.6,87.4,115.3,86.2,101.1,78.6,76.1,0,0,0,,0,0,24.6,16,231.5,1006.7,59.4,3.7,99.2,8.7,4,60,2023-08-28T05:57:49,2023-08-28T18:22:57,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-29,95,75.2,85.5,116.1,75.2,97.6,78.6,80.8,1.331,100,4.17,rain,0,0,25.9,11.4,277.9,1006.4,73,3.4,201,17.4,8,75,2023-08-29T05:57:51,2023-08-29T18:22:19,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-30,95,80.2,86.7,116.1,85.4,98.4,77.1,73.8,0,0,0,rain,0,0,15.7,15.9,283,1006.7,39.7,3.6,253.1,21.9,10,60,2023-08-30T05:57:54,2023-08-30T18:21:40,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-08-31,96.8,78.8,86,119.8,78.8,96,76.4,73.9,0.002,100,4.17,rain,0,0,17.2,13.7,254.1,1006.9,56.1,3.5,180,15.6,8,60,2023-08-31T05:57:56,2023-08-31T18:21:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-01,95,80.5,86.7,111.8,86.2,98.7,77.7,75.6,0,0,0,rain,0,0,22.1,12.8,215.7,1007,35.2,4,304.2,26.2,10,60,2023-09-01T05:57:58,2023-09-01T18:20:22,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-02,96.8,78.8,86.6,118.6,78.8,100.1,78.9,78.6,0.502,100,4.17,rain,0,0,31.8,13.8,225.4,1006.1,66.6,3.3,268.3,23.1,10,60,2023-09-02T05:57:59,2023-09-02T18:19:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-03,94.2,77,84.1,110.4,77,92.7,77,80.2,0.404,100,8.33,rain,0,0,17.7,13.9,264.6,1003,70.5,2.9,217.8,18.9,9,30,2023-09-03T05:58:01,2023-09-03T18:19:02,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-04,87.8,78.8,83.1,102.4,78.8,90.8,76.8,82.2,0.004,100,4.17,rain,0,0,25.9,12.6,259.1,1003.4,89.6,3.2,194.8,16.9,8,30,2023-09-04T05:58:02,2023-09-04T18:18:22,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,AUKJ,43277099999"
Perungudi,2023-09-05,86,80.7,83.3,97.2,85.7,90.9,75,76.2,0.019,100,8.33,rain,0,0,28.2,15.6,268.4,1003.4,90.4,2.8,39.1,3.3,2,10,2023-09-05T05:58:03,2023-09-05T18:17:41,0.67,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999,AUKJ"
Perungudi,2023-09-06,93.2,80.4,86,110.4,85.5,96.8,76.9,75,0,0,0,rain,0,0,28.6,13.4,233.9,1004,81.9,3.4,149.1,12.9,7,30,2023-09-06T05:58:04,2023-09-06T18:17:00,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-07,93.6,76.3,85.5,110.4,76.3,95.3,76.8,76.4,2.158,100,12.5,rain,0,0,25.7,13.9,244.1,1005.3,70.7,3.4,145.2,12.6,8,30,2023-09-07T05:58:05,2023-09-07T18:16:19,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-08,95,77,85.9,112.9,77,96.2,77.9,78.7,0.268,100,4.17,rain,0,0,26.2,11.4,228.9,1006.1,53.7,3.6,243.5,21.1,9,60,2023-09-08T05:58:05,2023-09-08T18:15:37,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Perungudi,2023-09-09,95,81.6,87.1,112.9,88.6,99.1,77.6,74.5,0.031,100,4.17,rain,0,0,27.1,14.3,217.1,1005.4,48.8,3.8,234,20.2,10,60,2023-09-09T05:58:06,2023-09-09T18:14:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
