name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
royapuram,2023-08-08,96.8,84.2,88.5,112.4,94.1,102.6,78.4,72.8,0,0,0,rain,0,0,22.8,9.2,179.8,1008.4,57.5,3.4,249.3,21.7,8,60,2023-08-08T05:55:26,2023-08-08T18:33:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-09,96.7,82.4,88.1,112.3,89.2,101,77.8,72.6,0.004,100,4.17,rain,0,0,17,8.8,184.5,1010,52.1,3.5,243.1,21.1,9,30,2023-08-09T05:55:35,2023-08-09T18:33:11,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-10,95.3,77.6,83.8,116.1,77.6,92.1,76.4,79.4,0.799,100,8.33,rain,0,0,24.2,12.7,230,1010.3,70,3.2,170.6,14.7,9,30,2023-08-10T05:55:44,2023-08-10T18:32:44,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-11,91.6,78.5,84.9,107.8,78.5,94.5,77,77.9,0,0,0,,0,0,17.7,6.6,196.7,1009.9,65.3,3.6,257,22.1,9,30,2023-08-11T05:55:53,2023-08-11T18:32:17,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-12,96.8,80,84.4,115.3,80,94.3,77.7,81.4,0.031,100,8.33,rain,0,0,21.9,11.4,229.6,1008.4,83.7,3.3,240,20.7,10,60,2023-08-12T05:56:02,2023-08-12T18:31:49,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.8,78.2,78.5,0.032,100,8.33,rain,0,0,20.8,9.2,237.5,1007.7,53,3.3,180.5,15.6,9,60,2023-08-13T05:56:10,2023-08-13T18:31:20,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-14,93.2,73.4,81.5,113.5,73.4,88,77,86.8,3.945,100,20.83,rain,0,0,18.1,11,209,1009.7,84.9,2.6,201.1,17.2,8,60,2023-08-14T05:56:17,2023-08-14T18:30:51,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.7,0.141,100,4.17,rain,0,0,21.9,7.6,192.1,1009.5,60.9,3.4,230.6,19.9,8,60,2023-08-15T05:56:25,2023-08-15T18:30:20,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-16,95,77.9,86.8,116.1,77.9,99.5,78.1,76.3,2.035,100,8.33,rain,0,0,25.1,8.2,200.2,1009.6,60.1,3.2,266.4,23,10,60,2023-08-16T05:56:32,2023-08-16T18:29:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
royapuram,2023-08-17,97,77.6,85.8,112.8,77.6,95.9,77.7,78.5,1.58,100,8.33,rain,0,0,24.8,15,256.4,1008.1,71.8,2.9,164.2,14.2,7,60,2023-08-17T05:56:38,2023-08-17T18:29:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
