name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sholinganallur,2023-08-08,96.8,83.9,88.5,112.4,94.2,102.7,78.5,73.1,0,0,0,rain,0,0,22.8,10.9,190.8,1006.9,59.2,3.4,249.3,21.7,8,60,2023-08-08T05:55:58,2023-08-08T18:33:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-09,96.7,82.4,88,113.4,89.2,101,77.8,72.7,0.004,100,4.17,rain,0,0,17,13.1,187.9,1008.5,53,3.5,243.1,21.1,9,30,2023-08-09T05:56:07,2023-08-09T18:33:11,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-10,95,77.6,83.8,116.1,77.6,92,76.5,79.5,1.173,100,8.33,rain,0,0,24.2,16.6,241.8,1008.9,70.3,3.1,170.6,14.7,9,30,2023-08-10T05:56:16,2023-08-10T18:32:44,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-11,91.7,78.1,84.8,107.8,78.1,94.6,77.1,78.2,0,0,0,,0,0,17.7,10.7,210.1,1008.3,67.2,3.5,257,22.1,9,30,2023-08-11T05:56:24,2023-08-11T18:32:17,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-12,96.8,79.9,84.3,115.3,79.9,94.2,77.7,81.6,0.06,100,8.33,rain,0,0,21.9,11.4,244.8,1007.6,85.5,3.3,240,20.7,10,60,2023-08-12T05:56:33,2023-08-12T18:31:50,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.6,78.2,78.5,0.015,100,8.33,rain,0,0,20.8,10.7,264.2,1006.9,50.2,3.2,180.5,15.6,9,60,2023-08-13T05:56:40,2023-08-13T18:31:21,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-14,94.1,73.4,81.3,113.6,73.4,87.5,76.8,87,4.439,100,20.83,rain,0,0,18.1,15.4,179.3,1008.1,85.7,2.6,201.1,17.2,8,60,2023-08-14T05:56:48,2023-08-14T18:30:52,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.7,79.5,82.6,0.055,100,4.17,rain,0,0,21.9,10.9,205.4,1007.9,62.3,3.4,230.6,19.9,8,60,2023-08-15T05:56:55,2023-08-15T18:30:22,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-16,95.9,80.1,87,116.1,86,100.3,78.3,76.2,0.827,100,8.33,rain,0,0,25.1,12.1,207,1008,59.5,3.1,266.4,23,10,60,2023-08-16T05:57:01,2023-08-16T18:29:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
Sholinganallur,2023-08-17,97.1,77.5,85.8,112.9,77.5,95.7,77.6,78.5,1.529,100,8.33,rain,0,0,24.8,15,257.8,1007,71.3,2.8,164.2,14.2,7,60,2023-08-17T05:57:08,2023-08-17T18:29:20,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
