,temp,tempmax,tempmin,solarradiation,humidity,cloudcover,dew
0,88.5,96.8,84.2,249.3,72.8,57.4,78.4
1,88.1,96.7,82.4,243.1,72.5,52.1,77.8
2,83.8,95.3,77.6,170.6,79.4,69.9,76.4
3,84.9,91.6,78.5,257,77.9,65.2,77
4,84.4,96.8,80,240,81.3,83.6,77.7
5,86.1,96.8,79.8,180.5,78.5,53.2,78.2
6,81.5,93.2,73.4,201.1,86.8,84.8,77
7,85.7,96.8,78.8,230.6,82.7,60.9,79.6
8,86.8,95,77.8,266.4,76.3,60.2,78.1
9,85.8,97,77.6,164.2,78.5,71.8,77.7
10,86.4,96.8,78.8,220.5,75.6,74,77.2
11,87.3,95.5,79,212.6,72.2,60.7,76.7
12,87.2,95,80,230.3,73.5,59.1,77.3
13,87.8,95,82.9,244.9,75.9,36.9,79
14,86.2,92.5,80.6,224.2,82.4,52.7,80.1
15,85.2,93.2,77,239.5,81.8,60.7,78.8
16,83.9,93.2,75.2,273.1,84.9,66.9,78.6
17,87.2,95,81.4,250,77.4,40.2,79
18,87.2,93.8,82.2,209.4,78.6,51.9,79.5
19,84.7,91.4,76.6,134.5,82.6,84.3,78.7
20,87.4,96.8,80.6,99.2,76.5,59,78.8
21,85.4,95,75.2,201,80.8,72.1,78.5
22,86.6,95,80.1,253.1,73.7,39.8,77
23,86,96.8,78.8,180,74.3,54.3,76.5
24,86.7,95,80.6,304.2,75.6,34.1,77.7
25,86.6,96.8,78.8,268.3,78.3,65.1,78.8
26,84.1,94.2,77,217.8,80,70.9,76.9
27,83.1,87.8,78.8,194.8,82.3,89.7,76.8
28,83.4,86.6,81,39.1,76,90.2,75
29,86,93.2,80.6,149.1,74.9,81.1,76.9
30,85.5,94,76.6,145.2,76.1,70.7,76.8
31,85.8,95,77,243.5,78.9,53.7,78
32,87,95,81.9,234,74.3,48.6,77.5
33,86.4,93.2,82.4,155.8,75.5,71.7,77.5
34,87.5,93.8,83.2,227.3,72.9,77.8,77.4
35,87.4,95.5,82.4,185.5,71.1,66.9,76.5
36,85.7,95,78.8,226.4,74.9,61.6,76.3
37,85.7,95,79.8,218.6,76.8,76.4,77.1
38,86.9,95.4,80.3,198.2,75.2,56.2,77.6
39,84.9,95,77,157.9,79.5,77.2,77.5
40,82.8,93.1,77,183.1,84.5,71.8,77.5
41,84.4,95,78.8,197.2,80.9,70.7,77.6
42,85.9,95,77.7,250.2,77.3,53.2,77.5
43,87.7,96.8,82.1,223.2,74.5,56.4,78.2
44,84.9,92.4,78.1,227.9,80.8,67.7,78.2
45,86.9,93.2,82.1,256.3,79.9,41.9,79.7
46,85.4,93.2,77,265.3,81.2,54.8,78.7
47,85.1,96.8,77,294.5,79.8,54.9,77.7
48,84.6,95,75.2,276.4,80.4,52.9,77.6
49,84.7,94.3,78.8,266,80.1,69.1,77.6
50,84.7,95,78.6,253,81.1,68.5,77.9
51,85.7,93.9,78.2,222.5,77.4,54.5,77.5
52,84.1,95,77,234.8,80.4,65.2,76.9
53,86,95,79.2,205.5,79.6,59.2,78.4
54,86.8,95,81,201.8,75.8,48.7,77.9
55,87.3,95,81.1,241.9,74.8,36.5,77.9
56,87.6,95.3,80.6,193.9,75.2,51.1,78.3
57,87.5,96.8,81.9,209.5,77.7,51.8,79.4
58,86.3,96.8,78.8,201.6,79.4,69.5,78.8
59,84.5,93.2,80.4,214,82.9,67,78.6
60,86.2,95,81.8,208.3,82.3,54.6,79.9
61,86.1,93.2,81.4,281.8,83,36.3,80.1
62,86.4,93.2,82.2,260.9,81.3,56.5,79.8
63,86.5,93.2,82.4,227.5,81.1,63.7,79.8
64,85.3,93.2,80.6,280.2,82.8,50.7,79.4
65,84.9,90.9,80.1,289.4,81.2,48.4,78.3
66,84,89.7,78.8,253.6,81,54.8,77.4
67,82.6,87.8,78.8,226.8,86,75,77.9
