,Unnamed: 0,temp,humidity,tempmax,tempmin,cloudcover,solarradiation,dew
0,0,88.5,72.8,96.8,84.1,58.1,257,78.4
1,1,88,72.6,96.7,82.4,52.5,228.3,77.8
2,2,83.8,79.4,95,77.9,70,166.3,76.4
3,3,84.9,77.9,91.6,78.4,66.2,226.3,77
4,4,84.4,81.4,96.8,80,84.4,227.3,77.7
5,5,86.1,78.4,96.8,79.8,51.9,184.7,78.2
6,6,81.5,86.8,93.5,73.4,85.1,194.5,76.9
7,7,85.7,82.6,96.8,78.8,61.3,229.8,79.5
8,8,86.9,76.2,95,78.8,59.9,286.9,78.2
9,9,85.8,78.5,97,77.6,71.5,174.6,77.6
10,10,86.4,75.7,96.8,78.8,74.5,229.8,77.2
11,11,87.3,72.1,95.6,79.2,60.7,225.9,76.7
12,12,87.2,73.5,95,80.5,59.9,253.4,77.3
13,13,87.8,76,95,82.8,37.6,239,79
14,14,86.2,82.3,92.4,80.6,52.7,209.5,80.1
15,15,85.1,82.1,93.2,77,61.1,237.4,78.8
16,16,83.9,84.8,93.2,75.2,67.6,276.8,78.6
17,17,87.2,77.3,95,81.4,40.4,251.1,78.9
18,18,87.2,78.6,94.4,82.1,52.1,192.6,79.5
19,19,84.7,82.3,91.4,76.6,84.7,134.8,78.6
20,20,87.4,76.3,96.8,80.6,59.1,158.8,78.7
21,21,85.4,80.7,95,75.2,72.3,189.9,78.5
22,22,86.6,73.8,95,80.1,39.9,195,77.1
23,23,86,74.1,96.8,78.8,55.1,174,76.5
24,24,86.7,75.6,95,80.6,34.8,305.9,77.7
25,25,86.6,78.4,96.8,78.8,65.7,245.1,78.8
26,26,84.1,80.1,94.1,77,70.7,239.3,76.9
27,27,83.1,82.3,87.8,78.8,89.8,177.6,76.8
28,28,83.3,76.2,86.3,80.8,90.2,41.4,75
29,29,86,75,93.2,80.6,81.4,129.9,76.9
30,30,85.5,76.2,93.9,76.6,70.7,156.6,76.8
31,31,85.9,78.8,95,77,53.7,259.3,78
32,32,87.1,74.4,95,81.8,48.7,229.8,77.6
33,33,86.3,75.6,93.2,82.4,71.8,161.8,77.5
34,34,87.5,72.9,93.7,83.2,78.1,242.8,77.5
35,35,87.4,71.1,95.4,82.4,67.3,207.4,76.5
36,36,85.7,75.1,95,78.8,61.6,250.1,76.4
37,37,85.7,76.9,95,79.8,76.4,241.1,77.1
38,38,86.9,75.4,95.3,80.1,56.1,201.5,77.7
39,39,84.9,79.6,95,77,76.9,180.3,77.5
40,40,82.8,84.5,92.9,77,71.5,196.2,77.4
41,41,84.4,80.9,95,78.8,70.7,201.7,77.6
42,42,85.9,77.1,95,77.9,53,253.6,77.4
43,43,87.7,74.5,96.8,82,56,230,78.2
