name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tondiarpet,2023-08-08,96.8,84.2,88.5,112.4,94.1,102.6,78.4,72.8,0,0,0,rain,0,0,21.5,9.2,180.4,1008.3,57.5,3.4,236.2,20.4,8,30,2023-08-08T05:55:27,2023-08-08T18:33:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-09,96.7,82.4,88.1,112.3,89.2,100.9,77.8,72.5,0.008,100,4.17,rain,0,0,16.3,9,185,1009.9,52.1,3.6,228,19.7,9,30,2023-08-09T05:55:36,2023-08-09T18:33:13,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-10,95.3,77.6,83.8,116.1,77.6,92.1,76.4,79.4,0.789,100,8.33,rain,0,0,24.6,13,230.8,1010.2,70,3.3,199.7,17.3,8,30,2023-08-10T05:55:45,2023-08-10T18:32:47,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-11,91.6,78.5,84.9,107.8,78.5,94.5,77,77.9,0,0,0,,0,0,19,6.8,197.6,1009.8,65.2,3.6,206,17.9,9,30,2023-08-11T05:55:54,2023-08-11T18:32:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-12,96.8,80,84.4,115.3,80,94.3,77.7,81.3,0.031,100,8.33,rain,0,0,20.1,11.4,230.7,1008.3,83.7,3.3,213.2,18.3,10,30,2023-08-12T05:56:03,2023-08-12T18:31:51,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.8,78.2,78.5,0.033,100,8.33,rain,0,0,18.1,9.2,238.3,1007.6,53.1,3.3,174.4,15,9,30,2023-08-13T05:56:11,2023-08-13T18:31:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-14,93.2,73.4,81.5,113.5,73.4,88,77,86.8,3.934,100,20.83,rain,0,0,17,11.3,208.8,1009.6,84.8,2.7,171.4,14.8,8,30,2023-08-14T05:56:18,2023-08-14T18:30:53,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.7,0.143,100,4.17,rain,0,0,18.6,7.8,193.1,1009.4,60.9,3.4,239.7,20.6,9,60,2023-08-15T05:56:26,2023-08-15T18:30:23,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-16,95,77.9,86.8,116.1,77.9,99.5,78.1,76.3,2.065,100,8.33,rain,0,0,24.2,8.5,200.3,1009.5,60.1,3.2,243.3,21.1,10,60,2023-08-16T05:56:33,2023-08-16T18:29:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Tondiarpet,2023-08-17,97,77.6,85.8,112.8,77.6,95.9,77.7,78.5,1.582,100,8.33,rain,0,0,24.2,15,256.7,1008,71.8,2.9,164.5,14.2,7,60,2023-08-17T05:56:39,2023-08-17T18:29:20,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999"
