tempmax,tempmin,temp,dew,humidity,cloudcover,solarradiation
96.8,84.1,88.5,78.4,72.9,57.5,249.3
96.7,82.4,88,77.8,72.6,52.3,243.1
95,77.7,83.8,76.5,79.4,69.9,170.6
91.6,78.4,84.9,77,78,65.9,257
96.8,80,84.4,77.7,81.5,84.4,240
96.8,79.9,86.1,78.2,78.5,51.8,180.5
93.4,73.4,81.5,76.9,86.9,85,201.1
96.8,78.8,85.7,79.6,82.7,61,230.6
95,78.8,86.9,78.2,76.2,59.7,266.4
97,77.7,85.8,77.7,78.5,71.4,164.2
96.8,78.8,86.4,77.3,75.7,74.5,220.5
95.5,79.1,87.3,76.8,72.2,60.5,212.6
95,80.5,87.2,77.4,73.6,59.6,230.3
95,82.9,87.8,79.1,76,37.2,244.9
92.3,80.6,86.2,80.1,82.4,52.4,224.2
93.2,77,85.1,78.8,82.1,60.7,239.5
93.2,75.2,83.9,78.6,84.9,67.4,273.1
95,81.4,87.2,79,77.3,40.2,250
94.3,82.1,87.2,79.5,78.7,51.8,209.4
91.4,76.6,84.8,78.6,82.4,84.6,134.5
96.8,80.6,87.4,78.7,76.4,59,99.2
95,75.2,85.4,78.6,80.8,72.1,201
95,80.1,86.6,77.1,73.8,39.5,253.1
96.8,78.8,86,76.5,74.2,54.5,180
95,80.6,86.7,77.8,75.7,34.3,304.2
96.8,78.8,86.6,78.8,78.5,65.5,268.3
94.1,77,84.1,77,80.1,70.5,217.8
87.8,78.8,83.1,76.9,82.3,89.5,194.8
86.4,80.9,83.4,75,76.2,90.1,39.1
93.2,80.6,86,76.9,75,81.3,149.1
93.8,76.7,85.5,76.8,76.3,70.3,145.2
95,77,85.9,78,78.9,53.5,243.5
95,81.8,87,77.6,74.5,48.6,234
93.2,82.4,86.4,77.5,75.6,71.7,155.8
93.7,83.2,87.5,77.5,73,77.9,227.3
95.4,82.4,87.4,76.5,71.2,67.1,185.5
95,78.8,85.7,76.4,75.2,61.4,226.4
95,80,85.7,77.1,76.9,76.2,218.6
95.3,80.2,86.9,77.8,75.4,56.1,198.2
95,77,84.9,77.5,79.7,76.8,157.9
93,77,82.8,77.5,84.5,71.3,183.1
95,78.8,84.4,77.6,81,70.7,197.2
95,77.9,85.9,77.5,77.2,52.6,250.2
96.8,82.1,87.8,78.2,74.5,55.8,223.2
92.2,78.1,84.9,78.2,80.8,67.7,227.9
93.2,82.1,86.9,79.8,79.9,41.9,256.3
93.2,77,85.4,78.7,81.2,55,265.3
96.8,77,85.1,77.7,79.9,55,294.5
95,75.2,84.6,77.6,80.6,52.8,276.4
94,78.8,84.7,77.6,80.1,69,266
95,78.8,84.7,77.9,81.2,68.8,253
93.7,78.2,85.7,77.5,77.6,54.3,222.5
95,77,84.1,77,80.5,64.6,234.8
95,79.3,86,78.5,79.6,59.1,205.5
95,81.1,86.8,77.9,76,48.7,201.8
95,81.1,87.3,77.9,74.9,36.8,241.9
95.2,80.6,87.6,78.4,75.4,50.8,193.9
96.8,81.8,87.5,79.4,77.8,51.9,209.5
96.8,78.8,86.3,78.9,79.4,69.4,201.6
93.2,80.2,84.6,78.6,82.9,67.6,214
95,81.8,86.2,80,82.4,54.1,208.3
93.2,81.5,86.1,80.2,83.1,36.4,281.8
93.2,82.2,86.4,79.8,81.4,56.8,260.9
93.2,82.4,86.5,79.9,81.2,63.8,227.5
93.2,80.6,85.2,79.3,82.9,50.6,280.2
90.7,80.1,84.9,78.3,81.4,48.9,289.4
89.7,78.8,84,77.4,81,55.5,253.6
87.8,78.8,82.6,77.9,86.1,75.4,226.8
89.8,77.6,82.8,77.7,84.8,72.2,250.6
89.6,78.8,84,78.8,84.7,69.8,259.6
89.9,78.8,83.8,76.9,80.4,45.6,254
91.4,78.7,84.4,75.2,75.2,37.4,274.9
91.4,78.8,84.1,76.5,78.6,45,269.7
91.4,77.7,84.4,75.8,76.5,42.4,260.8
88.1,75.1,82.2,77,84.6,73.6,273.2
91.4,79.7,84.6,76.9,78.7,57.3,274.3
92.8,78.2,84.2,73.2,71.6,39.4,279.7
91.4,75.8,83.8,73.6,72.8,31.8,280.8
93.2,77.2,84.2,75.5,76.2,39.3,278.4
89.8,77.8,83.9,75.9,77.6,34.6,271.5
88.5,79.8,83,77.2,83,51,232
90.5,79.5,84.2,77.6,81.1,50.7,266.3
90,79.8,84.2,76.8,79.1,56.9,263.1
84.9,77,80.4,76.7,88.7,89.1,152.7
86.3,78.3,81.2,77,87.3,86,239.3
89.8,78.8,81.9,77.1,85.8,66.7,238.9
86.5,78.5,82.5,77.9,86.3,69.2,218.6
86,77,80.5,77.6,91.1,79.9,213.8
87.5,77.8,80.7,77.2,89.3,84.6,59.1
87.8,78,82.3,77.9,86.7,68.6,164.4
87.8,78.3,82.7,77.9,85.5,60.5,220.4
87.8,78.6,82,77.7,87.1,80.2,248.6
87.6,78.3,82.4,77.7,85.8,72.2,168.6
85.7,77.3,80.8,77.2,89.1,82.9,215
87.8,77,82.1,77.2,85.5,68.8,143.8
87.8,76.7,81.9,74.2,78.3,51.6,258.7
87.8,76.5,82.4,74.8,78.5,50.6,228.8
89.6,76.5,82,75.6,81.6,60.3,176.2
78.8,75.2,76.8,75,94.1,90.9,7.7
78.8,75.2,77.1,75,93.3,87.1,11
