name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kodambakkam,2023-08-08,96.8,84.2,88.5,112.4,94.1,102.5,78.3,72.7,0,0,0,rain,0,0,22.8,10.9,192.9,1006.8,56.7,3.4,249.3,21.7,8,60,2023-08-08T05:55:47,2023-08-08T18:33:48,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-09,96.7,82.4,88.1,112.4,89.2,100.9,77.7,72.4,0.004,100,4.17,rain,0,0,17,13.2,194.4,1008.4,51.7,3.6,243.1,21.1,9,30,2023-08-09T05:55:57,2023-08-09T18:33:23,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-10,95.7,77.6,83.8,116.1,77.6,92.1,76.4,79.3,0.668,100,8.33,rain,0,0,24.2,16.6,243.1,1008.8,69.8,3.2,170.6,14.7,9,30,2023-08-10T05:56:06,2023-08-10T18:32:56,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-11,91.5,78.7,84.9,107.8,78.7,94.4,76.9,77.7,0,0,0,,0,0,17.7,10.8,216.1,1008.3,64.2,3.6,257,22.1,9,30,2023-08-11T05:56:14,2023-08-11T18:32:29,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-12,96.8,80,84.4,115.3,86.3,94.6,77.7,81.2,0.021,100,8.33,rain,0,0,21.9,11.4,244.6,1007.6,82.7,3.4,240,20.7,10,60,2023-08-12T05:56:23,2023-08-12T18:32:01,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.7,78.2,78.5,0.038,100,8.33,rain,0,0,20.8,10.8,258.5,1006.9,54.6,3.4,180.5,15.6,9,60,2023-08-13T05:56:31,2023-08-13T18:31:33,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-14,93.2,73.4,81.6,113.5,73.4,88.4,77.1,86.8,3.773,100,20.83,rain,0,0,18.1,15.4,175.3,1008,84.4,2.7,201.1,17.2,8,60,2023-08-14T05:56:38,2023-08-14T18:31:03,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.8,0.17,100,4.17,rain,0,0,21.9,10.9,207.8,1007.9,60.3,3.4,230.6,19.9,8,60,2023-08-15T05:56:46,2023-08-15T18:30:33,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-16,95,76.8,86.7,116.1,76.8,99.2,78,76.3,2.458,100,8.33,rain,0,0,25.1,12.2,204.1,1007.9,60.5,3.3,266.4,23,10,60,2023-08-16T05:56:53,2023-08-16T18:30:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-17,96.9,77.6,85.8,112.8,77.6,95.9,77.7,78.5,1.598,100,8.33,rain,0,0,24.8,15,260.7,1007,72.1,2.9,164.2,14.2,7,60,2023-08-17T05:56:59,2023-08-17T18:29:31,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-18,96.8,78.8,86.4,112.4,78.8,96.5,77.1,75.5,0.92,100,4.17,rain,0,0,23,14.2,227.3,1005.5,73.4,3.4,220.5,19,8,30,2023-08-18T05:57:05,2023-08-18T18:28:59,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-19,95.4,78.8,87.3,112.8,78.8,98,76.7,72.3,0.172,100,4.17,rain,0,0,21.9,16.3,250,1005.1,60.9,3.6,212.6,18.3,10,60,2023-08-19T05:57:11,2023-08-19T18:28:26,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-20,95.2,79.6,87.2,110,79.6,98.6,77.2,73.4,0.17,100,4.17,rain,0,0,21.3,11.2,219.7,1005.8,58.3,3.9,230.3,19.7,10,60,2023-08-20T05:57:16,2023-08-20T18:27:52,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-21,95,83,87.8,116.1,92.6,102.3,79,75.9,0,0,0,rain,0,0,24.2,12,180,1005.6,36.2,3.9,244.9,21,9,60,2023-08-21T05:57:22,2023-08-21T18:27:18,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999,AUKJ"
kodambakkam,2023-08-22,92.7,80.4,86.2,114.4,87.2,101.5,80.1,82.3,0.148,100,8.33,rain,0,0,17.7,10.2,200,1006.1,52.6,3.3,224.2,19.1,9,60,2023-08-22T05:57:26,2023-08-22T18:26:44,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-23,93.2,77,85.3,113.5,77,97.6,78.8,81.5,2.064,100,8.33,rain,0,0,25.7,15,224.3,1006.4,60.3,3.1,239.5,20.7,8,60,2023-08-23T05:57:31,2023-08-23T18:26:09,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-24,93.2,75.2,83.9,113.5,75.2,94.7,78.6,84.8,3.544,100,12.5,rain,0,0,23,46.4,194.2,1005.9,66.1,3.3,273.1,23.5,9,60,2023-08-24T05:57:35,2023-08-24T18:25:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-25,95,81.3,87.2,116.1,88.9,101.2,79,77.4,0,0,0,rain,0,0,26.4,11.4,204.7,1005.9,40,3.8,250,21.5,9,75,2023-08-25T05:57:39,2023-08-25T18:24:57,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999,43277099999"
kodambakkam,2023-08-26,93.3,82.3,87.2,117.1,90.8,102,79.4,78.5,0,0,0,,0,0,27.1,11.4,215.8,1007.4,51.7,3.7,209.4,18.1,8,60,2023-08-26T05:57:42,2023-08-26T18:24:20,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
kodambakkam,2023-08-27,91.4,76.5,84.7,110.9,76.5,96.3,78.8,82.9,0.737,100,4.17,rain,0,0,17,11.2,243.4,1008.1,83.8,3.1,134.5,11.6,4,30,2023-08-27T05:57:46,2023-08-27T18:23:43,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999,AUKJ"
