name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madhavaram,2023-08-08,96.8,84.2,88.5,112.4,94.1,102.6,78.4,72.8,0,0,0,rain,0,0,21.5,9.4,186,1007.5,57.2,3.4,236.2,20.4,8,30,2023-08-08T05:55:38,2023-08-08T18:33:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-09,96.7,82.4,88.1,112.3,89.2,100.9,77.7,72.5,0.008,100,4.17,rain,0,0,16.3,11.1,188.6,1009.1,51.9,3.6,228,19.7,9,30,2023-08-09T05:55:48,2023-08-09T18:33:27,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-10,95.4,77.7,83.8,116.1,77.7,92.1,76.4,79.3,0.736,100,8.33,rain,0,0,24.6,14.8,236.8,1009.5,69.9,3.2,199.7,17.3,8,30,2023-08-10T05:55:57,2023-08-10T18:33:00,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-11,91.6,78.6,84.9,107.8,78.6,94.5,77,77.8,0,0,0,,0,0,19,8.7,205.9,1009,64.8,3.6,206,17.9,9,30,2023-08-11T05:56:06,2023-08-11T18:32:33,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-12,96.8,80,84.4,115.3,80,94.3,77.7,81.3,0.026,100,8.33,rain,0,0,20.1,11.4,237.5,1008,83.3,3.4,213.2,18.3,10,30,2023-08-12T05:56:14,2023-08-12T18:32:05,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-13,96.8,79.8,86.1,115.3,79.8,97.8,78.2,78.5,0.035,100,8.33,rain,0,0,18.1,9.2,246.8,1007.2,53.8,3.3,174.4,15,9,30,2023-08-13T05:56:23,2023-08-13T18:31:36,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-14,93.2,73.4,81.6,113.5,73.4,88.3,77,86.8,3.862,100,20.83,rain,0,0,17,13.4,202.2,1008.8,84.6,2.7,171.4,14.8,8,30,2023-08-14T05:56:30,2023-08-14T18:31:07,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-15,96.8,78.8,85.7,118.6,78.8,98.8,79.6,82.7,0.155,100,4.17,rain,0,0,18.6,9.4,199.6,1008.6,60.7,3.4,239.7,20.6,9,60,2023-08-15T05:56:38,2023-08-15T18:30:37,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-16,95,77.4,86.8,116.1,77.4,99.4,78.1,76.3,2.239,100,8.33,rain,0,0,24.2,10.3,202.7,1008.6,60.3,3.2,243.3,21.1,10,60,2023-08-16T05:56:45,2023-08-16T18:30:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-17,97,77.6,85.8,112.8,77.6,95.9,77.7,78.5,1.589,100,8.33,rain,0,0,24.2,15,258.6,1007.5,71.9,2.9,164.5,14.2,7,60,2023-08-17T05:56:51,2023-08-17T18:29:34,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-18,96.8,78.8,86.4,112.4,78.8,96.5,77.2,75.6,0.837,100,4.17,rain,0,0,23,13.9,222.8,1005.8,73.8,3.4,201.9,17.3,7,30,2023-08-18T05:56:58,2023-08-18T18:29:02,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-19,95.4,78.9,87.3,112.8,78.9,98.1,76.7,72.3,0.157,100,4.17,rain,0,0,20.8,13.9,243.7,1005.4,60.8,3.6,214.2,18.5,10,60,2023-08-19T05:57:04,2023-08-19T18:28:29,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
madhavaram,2023-08-20,95,79.8,87.2,110,79.8,98.7,77.2,73.4,0.155,100,4.17,rain,0,0,20.4,10.7,223.4,1006.5,58.8,3.9,256.1,22,10,30,2023-08-20T05:57:09,2023-08-20T18:27:55,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999,43277099999"
